;Player;ShootOnTarget;ShootPer90;GoalPerShoot
520;Ibrahim Cissé;0;0.00;
521;Ibrahim Cissé;1;1.80;0.00
522;Andrea Cistana;2;0.29;0.17
523;Ciaran Clark;4;0.46;0.33
524;Leon Clarke;0;2.57;0.00
525;Alexis Claude-Maurice;11;2.10;0.03
526;Christian Clemens;0;0.00;
527;Óscar Clemente;0;0.00;
528;Yannis Clementia;0;0.00;
529;Denilho Cleonise;0;1.91;0.00
530;Carlos Clerc;2;0.19;0.00
531;Tom Cleverley;5;1.58;0.06
532;Conor Coady;0;0.00;
533;Marcus Coco;0;0.00;
534;Renaud Cohade;4;0.94;0.13
535;Coke;2;0.73;0.13
536;Séamus Coleman;3;0.39;0.00
537;Álex Collado;0;0.00;
538;Ebrima Colley;2;5.49;0.00
539;Omar Colley;5;0.75;0.00
540;Jamilu Collins;1;0.57;0.06
541;Simone Colombi;0;0.00;
542;Lorenzo Colombo;0;0.00;
543;Racine Coly;4;0.83;0.17
544;Kingsley Coman;15;2.21;0.11
545;Daniel Congré;2;0.37;0.00
546;Aaron Connolly;13;2.72;0.08
547;Andrea Consigli;0;0.00;
548;Andrea Conti;0;0.05;0.00
549;Lewis Cook;2;0.60;0.00
550;Steve Cook;2;0.48;0.08
551;Francis Coquelin;1;0.47;0.00
552;Gabriele Corbo;0;0.00;
553;Sébastien Corchia;1;1.00;0.00
554;Iñigo Córdoba;8;1.56;0.04
555;Jhon Córdoba;26;2.88;0.20
556;Sergio Córdova;2;1.23;0.40
557;Benjamin Corgnet;1;1.38;0.00
558;Jack Cork;5;0.62;0.00
559;Andreas Cornelius;20;2.71;0.27
560;Maxwel Cornet;13;1.62;0.17
561;Quentin Cornette;1;0.52;0.00
562;Ángel Correa;17;1.92;0.11
563;Joaquín Correa;37;3.42;0.12
564;Rober Correa;2;0.48;0.00
565;Thierry Correia;0;0.35;0.00
566;Antonio Cortés;2;1.49;0.33
567;Angelo da Costa Júnior;0;0.00;
568;Danny da Costa;4;1.04;0.06
569;Diego Costa;8;2.20;0.09
570;Douglas Costa;8;2.24;0.05
571;Jaume Costa;1;0.13;0.00
572;Nuno da Costa;7;3.24;0.05
573;David Costas;0;0.27;0.00
574;Benoît Costil;0;0.00;
575;Kalifa Coulibaly;19;2.62;0.09
576;Senou Coulibaly;1;0.68;0.00
577;Yoann Court;11;2.09;0.09
578;Thibaut Courtois;1;0.03;0.00
579;Philippe Coutinho;26;3.57;0.13
580;Nicolas Cozza;1;0.32;0.00
581;Alessio Cragno;0;0.00;
582;Aaron Cresswell;5;0.59;0.17
583;Domenico Criscito;2;0.57;0.08
584;Bryan Cristante;9;1.62;0.03
585;Sebastián Cristóforo;0;0.00;
586;Sebastián Cristóforo;3;0.72;0.00
587;Juan Cuadrado;5;0.68;0.10
588;Cucho;14;2.72;0.11
589;Marc Cucurella;6;0.86;0.03
590;Iván Cuéllar;0;0.00;
591;Jaume Cuéllar;0;0.00;
592;Mickaël Cuisance;1;3.52;0.08
593;Matheus Cunha;15;4.23;0.17
594;Matheus Cunha;7;5.16;0.00
595;Felipe Curcio;0;0.00;
596;Patrick Cutrone;12;2.36;0.18
597;Patrick Cutrone;3;3.33;0.18
598;Wylan Cyprien;15;2.69;0.04
599;Rafael Czichos;6;0.45;0.09
600;Lennart-Marten Czyborra;0;0.00;
601;Marco D'Alessandro;3;0.69;0.33
602;Danilo D'Ambrosio;4;0.45;0.57
603;Felice D'Amico;0;30.00;0.00
604;Lucas Da Cunha;0;2.50;0.00
605;Jacopo Da Riva;0;0.00;
606;Damien Da Silva;3;0.24;0.17
607;Bryan Dabo;3;0.64;0.13
608;Moanes Dabour;10;2.70;0.17
609;Moanes Dabour;0;6.92;0.00
610;Colin Dagba;0;0.27;0.00
611;Mahmoud Dahoud;4;2.10;0.00
612;Leon Dajaku;0;0.00;
613;Felipe dal Belo;2;0.54;0.00
614;Christian Dalle Mura;0;0.00;
615;Diogo Dalot;0;1.34;0.00
616;Charlie Daniels;0;0.00;
617;Danilo;4;0.87;0.14
618;Scott Dann;2;0.57;0.00
619;Kevin Danso;0;0.32;0.00
620;Dante;6;0.90;0.05
621;Andrea Danzi;0;0.00;
622;Sergi Darder;9;1.76;0.04
623;Vladimír Darida;14;1.72;0.07
624;Matteo Darmian;2;0.23;0.14
625;Alphonso Davies;5;0.48;0.25
626;Ben Davies;1;0.44;0.00
627;Tom Davies;5;0.75;0.06
628;Keinan Davis;5;2.63;0.00
629;Paweł Dawidowicz;1;0.52;0.25
630;Craig Dawson;7;0.88;0.09
631;Kevin De Bruyne;27;3.10;0.11
632;Sebastien De Maio;3;0.54;0.00
633;Rodrigo De Paul;30;2.74;0.08
634;Mattia De Sciglio;0;0.19;0.00
635;Lorenzo De Silvestri;5;0.92;0.00
636;Lucas Deaux;5;1.01;0.13
637;Mathieu Debuchy;3;0.61;0.08
638;Troy Deeney;16;1.54;0.13
639;Grégoire Defrel;8;1.84;0.10
640;Alessandro Deiola;0;0.00;
641;Alessandro Deiola;2;1.13;0.11
642;Romain Del Castillo;9;1.96;0.04
643;Thomas Delaine;4;0.50;0.00
644;Thomas Delaney;0;0.33;0.00
645;Paul Delecroix;0;0.00;
646;Cristian Dell'Orco;0;0.00;
647;Andy Delort;28;3.28;0.11
648;Fabian Delph;0;0.23;0.00
649;Moussa Dembélé;21;2.10;0.24
650;Ousmane Dembélé;2;1.26;0.20
651;Merih Demiral;1;0.43;0.50
