;Player;Crosses;PenaltyWon;AerialWonRate
642;Romain Del Castillo;26;0;40.0
643;Thomas Delaine;49;0;15.8
644;Thomas Delaney;1;0;61.1
645;Paul Delecroix;0;0;
646;Cristian Dell'Orco;26;0;68.6
647;Andy Delort;84;0;45.4
648;Fabian Delph;4;0;54.5
649;Moussa Dembélé;9;3;42.3
650;Ousmane Dembélé;15;0;33.3
651;Merih Demiral;0;0;78.6
652;Kerem Demirbay;26;0;59.5
653;Diego Demme;6;0;37.0
654;Diego Demme;4;0;35.7
655;Jason Denayer;2;0;59.0
656;Leander Dendoncker;7;0;56.3
657;Kevin Denkey;5;0;25.5
658;Stefano Denswil;3;0;69.7
659;Fabio Depaoli;61;1;35.7
660;Memphis Depay;15;1;15.4
661;Kastriot Dermaku;0;0;72.5
662;Daniele Dessena;11;2;44.0
663;Mattia Destro;0;0;13.3
664;Mattia Destro;0;0;28.6
665;Gerard Deulofeu;59;1;16.7
666;Deyverson;1;0;60.0
667;Samuel Di Carmine;9;2;39.2
668;Federico Di Francesco;22;1;30.4
669;Giovanni Di Lorenzo;53;0;55.6
670;Ángel Di María;92;0;20.0
671;Boulaye Dia;9;1;25.2
672;Fousseni Diabaté;28;0;39.1
673;Moussa Diaby;85;0;17.6
674;Mouctar Diakhaby;1;0;63.6
675;Bafodé Diakité;5;0;59.5
676;Abdou Diallo;6;0;60.7
677;Habib Diallo;12;0;38.1
678;Ibrahima Diallo;3;0;56.7
679;Moussa Diarra;0;0;50.0
680;Raphael Dias Belloli;45;0;45.5
681;Lucas Dias;0;0;
682;Amadou Diawara;2;0;50.0
683;Brahim Díaz;1;0;0.0
684;Víctor Díaz;68;0;54.5
685;Bakaye Dibassy;7;0;40.0
686;Eric Dier;1;0;68.7
687;Lucas Digne;153;0;67.9
688;Virgil van Dijk;0;0;81.0
689;Mitchell Dijks;23;0;45.0
690;Javairô Dilrosun;34;0;21.1
691;Federico Dimarco;26;0;42.9
692;Federico Dimarco;0;0;0.0
693;Tristan Dingomé;8;0;10.0
694;Lois Diony;11;0;19.5
695;Issa Diop;1;0;68.3
696;Papakouli Diop;5;0;63.5
697;Assane Dioussé;0;0;50.0
698;Axel Disasi;1;0;61.9
699;Tiago Djaló;1;0;55.6
700;Djené;6;0;61.9
701;Moussa Djenepo;16;0;26.3
702;Koffi Djidji;0;0;47.8
703;Alexander Djiku;4;0;78.8
704;Berat Djimsiti;2;0;73.4
705;Naïs Djouahra;3;0;100.0
706;Marko Dmitrović;0;0;
707;Matt Doherty;38;1;53.8
708;Kasper Dolberg;3;0;45.9
709;Keagan Dolly;1;0;66.7
710;Jaume Doménech;0;0;
711;Nicolás Domínguez;5;0;36.4
712;Giulio Donati;52;0;60.0
713;Ji Dong-won;1;0;42.9
714;Anastasios Donis;17;0;25.0
715;Alfredo Donnarumma;9;0;23.5
716;Gianluigi Donnarumma;0;0;
717;Gabriel Dos Santos;4;0;71.0
718;Mathieu Dossevi;96;0;23.3
719;Bas Dost;1;0;70.6
720;Abdoulaye Doucouré;27;0;50.0
721;Mamadou Doucouré;0;0;
722;Moussa Doumbia;36;1;20.0
723;Souleyman Doumbia;12;0;40.0
724;Souleyman Doumbia;1;0;0.0
725;Thomas Doyle;0;0;
726;Mohamed Dräger;23;0;38.1
727;Aleksandar Dragović;0;0;62.9
